take/V_place/N-dobj
year/N_last/J-amod
time/N_first/J-amod
people/N_young/J-amod
site/N_web/N-compound
time/N_same/J-amod
take/V_part/N-dobj
play/V_role/N-dobj
year/N_next/J-amod
information/N_more/J-amod
range/N_wide/J-amod
make/V_debut/N-dobj
provide/V_service/N-dobj
have/V_child/N-dobj
win/V_award/N-dobj
war/N_world/N-compound
play/V_game/N-dobj
release/V_album/N-dobj
year/N_many/J-amod
year/N_same/J-amod
score/V_goal/N-dobj
provide/V_information/N-dobj
school/N_high/J-amod
authority/N_local/J-amod
make/V_appearance/N-dobj
people/N_many/J-amod
year/N_age/N-nmod:of
information/N_further/J-amod
have/V_population/N-dobj
have/V_effect/N-dobj
minister/N_prime/N-compound
team/N_national/J-amod
number/N_large/J-amod
year/N_few/J-amod
olympics/N_summer/N-compound
be/V_aim/N-nsubj
year/N_following/J-amod
make/V_decision/N-dobj
year/N_first/J-amod
income/N_median/J-amod
be/V_way/N-nsubj
win/V_medal/N-dobj
album/N_studio/N-compound
team/N_football/N-compound
station/N_railway/N-compound
win/V_championship/N-dobj
cup/N_world/N-compound
win/V_title/N-dobj
have/V_people/N-nsubj
day/N_next/J-amod
be/V_people/N-nsubj
size/N_average/J-amod
education/N_higher/J-amod
have/V_time/N-dobj
spend/V_time/N-dobj
year/N_past/J-amod
detail/N_more/J-amod
provide/V_support/N-dobj
be/V_household/N-nsubj
century/N_early/J-amod
election/N_general/J-amod
hand/N_other/J-amod
year/N_older/J-nmod:of
country/N_other/J-amod
festival/N_film/N-compound
have/V_access/N-dobj
year/N_recent/J-amod
have/V_problem/N-dobj
be/V_thing/N-nsubj
video/N_music/N-compound
be/V_reason/N-nsubj
have/V_experience/N-dobj
change/V_name/N-dobj
make/V_use/N-dobj
people/N_other/J-amod
championships/N_world/N-compound
be/V_evidence/N-nsubj
week/N_last/J-amod
register/N_national/N-compound
study/N_case/N-compound
play/V_footballer/N-nsubj
receive/V_award/N-dobj
year/N_several/J-amod
station/N_radio/N-compound
do/V_work/N-dobj
championship/N_world/N-compound
meet/V_need/N-dobj
member/N_other/J-amod
end/N_season/N-nmod:of
take/V_action/N-dobj
be/V_problem/N-nsubj
do/V_thing/N-dobj
war/N_second/J-compound
season/N_first/J-amod
have/V_impact/N-dobj
take/V_advantage/N-dobj
places/N_historic/N-compound
day/N_few/J-amod
register/N_places/N-nmod:of
round/N_first/J-amod
series/N_television/N-compound
be/V_male/N-nsubj
album/N_debut/N-compound
school/N_primary/J-amod
ask/V_question/N-dobj
time/N_long/J-amod
tell/V_story/N-dobj
begin/V_career/N-dobj
school/N_secondary/J-amod
be/V_female/N-nmod:for
page/N_web/N-compound
have/V_area/N-dobj
war/N_civil/J-amod
game/N_first/J-amod
attend/V_school/N-dobj
take/V_care/N-dobj
coach/N_head/N-compound
half/N_second/J-amod
sign/V_contract/N-dobj
have/V_right/N-dobj
take/V_account/N-nmod:into
level/N_high/J-amod
man/N_young/J-amod
be/V_purpose/N-nsubj
deal/N_great/J-amod
community/N_local/J-amod
have/V_opportunity/N-dobj
president/N_vice/N-compound
form/N_application/N-compound
name/N_same/J-amod
use/V_system/N-dobj
have/V_son/N-dobj
secretary/N_state/N-nmod:of
answer/V_question/N-dobj
album/N_first/J-amod
offer/V_service/N-dobj
form/V_part/N-dobj
mile/N_square/N-compound
i/N_war/N-compound
take/V_time/N-dobj
change/N_climate/N-compound
i/N_world/N-compound
month/N_few/J-amod
write/V_book/N-dobj
spend/V_year/N-nmod:tmod
play/V_part/N-dobj
party/N_political/J-amod
COUNTRY/N_northern/J-amod
have/V_power/N-dobj
member/N_team/N-nmod:of
make/V_difference/N-dobj
variety/N_wide/J-amod
medal/N_gold/N-compound
give/V_opportunity/N-dobj
year/N_previous/J-amod
have/V_role/N-dobj
publish/V_book/N-dobj
area/N_total/J-amod
play/V_match/N-dobj
provide/V_opportunity/N-dobj
century/N_late/J-amod
density/N_population/N-compound
use/V_method/N-dobj
half/N_first/J-amod
park/N_car/N-compound
make/V_change/N-dobj
time/N_several/J-amod
people/N_most/J-amod
detail/N_further/J-amod
cover/V_area/N-dobj
find/V_way/N-dobj
take/V_step/N-dobj
day/N_same/J-amod
executive/N_chief/N-compound
make/V_contribution/N-dobj
be/V_need/N-nsubj
have/V_idea/N-dobj
officer/N_police/N-compound
do/V_job/N-dobj
district/N_administrative/J-amod
type/N_different/J-amod
unit/N_housing/N-compound
provide/V_access/N-dobj
solve/V_problem/N-dobj
win/V_team/N-nsubj
member/N_family/N-nmod:of
government/N_local/J-amod
village/N_district/N-nmod:in
thing/N_other/J-amod
