take/V_place/N-dobj
year/N_last/J-amod
people/N_young/J-amod
time/N_first/J-amod
site/N_web/N-compound
take/V_part/N-dobj
range/N_wide/J-amod
play/V_role/N-dobj
provide/V_service/N-dobj
time/N_same/J-amod
authority/N_local/J-amod
provide/V_information/N-dobj
year/N_next/J-amod
win/V_award/N-dobj
information/N_more/J-amod
make/V_debut/N-dobj
war/N_world/N-compound
score/V_goal/N-dobj
team/N_national/J-amod
play/V_game/N-dobj
make/V_appearance/N-dobj
school/N_high/J-amod
win/V_medal/N-dobj
year/N_many/J-amod
people/N_many/J-amod
be/V_aim/N-nsubj
have/V_effect/N-dobj
minister/N_prime/N-compound
information/N_further/J-amod
team/N_football/N-compound
number/N_large/J-amod
year/N_same/J-amod
release/V_album/N-dobj
provide/V_support/N-dobj
make/V_decision/N-dobj
album/N_studio/N-compound
win/V_championship/N-dobj
win/V_title/N-dobj
education/N_higher/J-amod
have/V_people/N-nsubj
olympics/N_summer/N-compound
cup/N_world/N-compound
year/N_few/J-amod
festival/N_film/N-compound
be/V_way/N-nsubj
have/V_access/N-dobj
year/N_first/J-amod
have/V_child/N-dobj
study/N_case/N-compound
have/V_experience/N-dobj
station/N_railway/N-compound
spend/V_time/N-dobj
year/N_following/J-amod
championships/N_world/N-compound
meet/V_need/N-dobj
play/V_footballer/N-nsubj
have/V_time/N-dobj
make/V_use/N-dobj
week/N_last/J-amod
championship/N_world/N-compound
have/V_impact/N-dobj
have/V_problem/N-dobj
country/N_other/J-amod
take/V_action/N-dobj
day/N_next/J-amod
be/V_thing/N-nsubj
take/V_advantage/N-dobj
people/N_other/J-amod
year/N_past/J-amod
page/N_web/N-compound
video/N_music/N-compound
station/N_radio/N-compound
receive/V_award/N-dobj
election/N_general/J-amod
school/N_primary/J-amod
year/N_recent/J-amod
series/N_television/N-compound
detail/N_more/J-amod
be/V_reason/N-nsubj
provide/V_opportunity/N-dobj
war/N_second/J-compound
register/N_national/N-compound
change/N_climate/N-compound
member/N_other/J-amod
coach/N_head/N-compound
form/N_application/N-compound
school/N_secondary/J-amod
medal/N_gold/N-compound
have/V_opportunity/N-dobj
community/N_local/J-amod
level/N_high/J-amod
do/V_thing/N-dobj
season/N_first/J-amod
offer/V_service/N-dobj
do/V_work/N-dobj
year/N_several/J-amod
attend/V_school/N-dobj
develop/V_skill/N-dobj
round/N_first/J-amod
give/V_opportunity/N-dobj
be/V_purpose/N-nsubj
have/V_right/N-dobj
have/V_population/N-dobj
sign/V_contract/N-dobj
provide/V_advice/N-dobj
i/N_war/N-compound
secretary/N_state/N-nmod:of
i/N_world/N-compound
ask/V_question/N-dobj
practice/N_good/J-amod
take/V_account/N-nmod:into
century/N_early/J-amod
variety/N_wide/J-amod
game/N_first/J-amod
register/N_places/N-nmod:of
provide/V_access/N-dobj
deal/N_great/J-amod
president/N_vice/N-compound
album/N_debut/N-compound
make/V_contribution/N-dobj
be/V_evidence/N-nsubj
places/N_historic/N-compound
begin/V_career/N-dobj
end/N_season/N-nmod:of
executive/N_chief/N-compound
change/V_name/N-dobj
rights/N_human/J-amod
government/N_local/J-amod
day/N_few/J-amod
tell/V_story/N-dobj
win/V_team/N-nsubj
take/V_step/N-dobj
use/V_system/N-dobj
park/N_car/N-compound
play/V_part/N-dobj
spend/V_year/N-nmod:tmod
take/V_care/N-dobj
have/V_power/N-dobj
form/V_part/N-dobj
officer/N_police/N-compound
war/N_civil/J-amod
man/N_young/J-amod
people/N_disabled/J-amod
half/N_second/J-amod
be/V_problem/N-nsubj
hand/N_other/J-amod
make/V_difference/N-dobj
have/V_role/N-dobj
member/N_team/N-nmod:of
party/N_political/J-amod
service/N_health/N-compound
album/N_first/J-amod
play/V_match/N-dobj
member/N_staff/N-nmod:of
use/V_method/N-dobj
type/N_different/J-amod
find/V_way/N-dobj
service/N_public/J-amod
project/N_research/N-compound
make/V_change/N-dobj
answer/V_question/N-dobj
people/N_older/J-amod
have/V_interest/N-dobj
engine/N_search/N-compound
people/N_local/J-amod
name/N_same/J-amod
party/N_third/J-amod
rate/N_interest/N-compound
war/N_first/N-compound
game/N_video/N-compound
practice/N_best/J-amod
have/V_chance/N-dobj
time/N_long/J-amod
be/V_people/N-nsubj
give/V_information/N-dobj
provider/N_service/N-compound
time/N_several/J-amod
type/N_house/N-compound
month/N_few/J-amod
take/V_time/N-dobj
play/V_football/N-dobj
release/N_press/N-compound
win/V_cup/N-dobj
district/N_school/N-compound
do/V_job/N-dobj
card/N_credit/N-compound
have/V_idea/N-dobj
month/N_last/J-amod
solve/V_problem/N-dobj
address/N_email/N-compound
festival/N_international/N-compound
write/V_book/N-dobj
medal/N_bronze/N-compound
raise/V_awareness/N-dobj
war/N_civil/N-compound
half/N_first/J-amod
meet/V_requirement/N-dobj
people/N_most/J-amod
detail/N_contact/N-compound
album/N_second/J-amod
school/N_public/J-amod
care/N_health/N-compound
prix/N_grand/N-compound
offer/V_opportunity/N-dobj
area/N_other/J-amod
have/V_student/N-nsubj
sector/N_private/J-amod
use/V_technique/N-dobj
year/N_age/N-nmod:of
do/V_something/N-dobj
day/N_same/J-amod
type/N_select/N-nmod:in
technology/N_new/J-amod
way/N_same/J-amod
cover/V_area/N-dobj
system/N_new/J-amod
give/V_chance/N-dobj
night/N_last/J-amod
win/V_game/N-dobj
detail/N_further/J-amod
team/N_basketball/N-compound
be/V_need/N-nsubj
year/N_previous/J-amod
use/V_technology/N-dobj
story/N_short/J-amod
have/V_responsibility/N-dobj
be/V_goal/N-nsubj
year/N_early/J-amod
phone/N_mobile/J-amod
team/N_first/J-amod
set/V_record/N-dobj
goal/N_first/J-amod
play/V_player/N-nsubj
have/V_company/N-nsubj
area/N_rural/J-amod
role/N_important/J-amod
century/N_late/J-amod
make/V_way/N-dobj
thing/N_other/J-amod
district/N_administrative/J-amod
publish/V_book/N-dobj
game/N_home/N-compound
building/N_new/J-amod
report/N_annual/J-amod
win/V_prize/N-dobj
hold/V_position/N-dobj
round/N_second/J-amod
find/V_information/N-dobj
business/N_small/J-amod
play/V_team/N-nmod:for
nominate/V_award/N-nmod:for
represent/V_team/N-nsubj
quality/N_life/N-nmod:of
people/N_more/J-amod
address/V_issue/N-dobj
player/N_professional/J-amod
page/N_home/N-compound
contain/V_information/N-dobj
hold/V_meeting/N-dobj
plan/N_action/N-compound
play/V_team/N-nsubj
appearance/N_first/J-amod
day/N_first/J-amod
number/N_people/N-nmod:of
make/V_sense/N-dobj
write/V_song/N-dobj
week/N_few/J-amod
centre/N_city/N-compound
record/V_album/N-dobj
give/V_advice/N-dobj
play/V_league/N-nmod:in
standard/N_high/J-amod
time/N_more/J-amod
subject/N_pm/N-compound
have/V_son/N-dobj
assembly/N_legislative/J-amod
system/N_management/N-compound
period/N_time/N-nmod:of
start/V_career/N-dobj
office/N_post/N-compound
player/N_former/J-amod
part/N_other/J-amod
member/N_family/N-nmod:of
group/N_other/J-amod
player/N_football/N-compound
week/N_next/J-amod
improve/V_quality/N-dobj
chart/N_singles/N-compound
team/N_man/N-nmod:poss
need/N_special/J-amod
mollusk/N_gastropod/N-compound
group/N_small/J-amod
point/N_view/N-nmod:of
footballer/N_professional/J-amod
place/N_first/J-amod
have/V_area/N-dobj
provide/V_training/N-dobj
make/V_effort/N-dobj
subject/N_post/N-compound
member/N_family/N-compound
be/V_objective/N-nsubj
list/V_register/N-nmod:on
series/N_tv/N-compound
run/N_home/N-compound
end/N_year/N-nmod:of
work/V_year/N-nmod:for
send/V_message/N-dobj
officer/N_chief/N-compound
development/N_sustainable/J-amod
section/N_act/N-nmod:of
insurance/N_health/N-compound
organisation/N_other/J-amod
match/N_first/J-amod
time/N_second/J-amod
raise/V_money/N-dobj
have/V_difficulty/N-dobj
system/N_operating/N-compound
be/V_difference/N-nsubj
win/V_race/N-dobj
sector/N_public/J-amod
number/N_small/J-amod
use/V_information/N-dobj
team/N_woman/N-nmod:poss
size/N_average/J-amod
union/N_trade/N-compound
allow/V_user/N-dobj
level/N_sea/N-compound
use/V_purpose/N-nmod:for
make/V_progress/N-dobj
take/V_account/N-dobj
have/V_knowledge/N-dobj
detail/N_full/J-amod
receive/V_review/N-dobj
information/N_personal/J-amod
problem/N_health/N-compound
month/N_next/J-amod
way/N_different/J-amod
review/N_positive/J-amod
give/V_name/N-dobj
series/N_world/N-compound
film/N_short/J-amod
use/V_service/N-dobj
take/V_year/N-nmod:tmod
centre/N_town/N-compound
have/V_child/N-nsubj
way/N_best/J-amod
have/V_school/N-nsubj
league/N_football/N-compound
part/N_team/N-nmod:of
give/V_access/N-dobj
serve/V_president/N-nmod:as
offer/V_advice/N-dobj
course/N_training/N-compound
side/N_other/J-amod
medal/N_silver/N-compound
code/N_practice/N-nmod:of
year/N_second/J-amod
finish/V_place/N-nmod:in
organisation/N_voluntary/J-amod
